Team,Location,Stadium,Capacity,Ref.
FC Augsburg,Augsburg,WWK Arena,30660,[10]
Bayer Leverkusen,Leverkusen,BayArena,30210,[10]
Bayern Munich,Munich,Allianz Arena,75000,[10]
VfL Bochum,Bochum,Vonovia Ruhrstadion,27599,[10]
Werder Bremen,Bremen,Wohninvest Weserstadion,42100,[10]
Borussia Dortmund,Dortmund,Signal Iduna Park,81359,[11]
Borussia Mönchengladbach,Mönchengladbach,Borussia-Park,59724,[10]
Eintracht Frankfurt,Frankfurt,Deutsche Bank Park,51500,[10]
SC Freiburg,Freiburg im Breisgau,Europa-Park Stadion,34700,[10]
Hertha BSC,Berlin,Olympiastadion,74649,[10]
1899 Hoffenheim,Sinsheim,PreZero Arena,30164,[12]
1. FC Köln,Cologne,RheinEnergieStadion,49698,[10]
RB Leipzig,Leipzig,Red Bull Arena,47069,[13]
Mainz 05,Mainz,Mewa Arena,34000,[10]
Schalke 04,Gelsenkirchen,Veltins-Arena,62271,[10]
VfB Stuttgart,Stuttgart,Mercedes-Benz Arena,60449,[10]
Union Berlin,Berlin,Stadion An der Alten Försterei,22012,[10]
VfL Wolfsburg,Wolfsburg,Volkswagen Arena,30000,[10]
