Club,Location
Atalanta,Bergamo
Bologna,Bologna
Cremonese,Cremona
Empoli,Empoli
Fiorentina,Florence
Hellas Verona,Verona
Inter Milan,Milan
Juventus,Turin
Lazio,Rome
Lecce,Lecce
AC Milan,Milan
Monza,Monza
Napoli,Naples
Roma,Rome
Salernitana,Salerno
Sampdoria,Genoa
Sassuolo,Sassuolo
Spezia,La Spezia
Torino,Turin
Udinese,Udine
Arsenal,London Borough of Islington
Aston Villa,"Aston, Birmingham"
Barnsley,Barnsley
Birmingham City,Birmingham
Blackburn Rovers,Blackburn
Blackpool,Blackpool
Bolton Wanderers,Bolton
Bradford City,Bradford
Burnley,Burnley
Cardiff City,"Cardiff, Wales"
Charlton Athletic,London Borough of Greenwich
Chelsea,London Borough of Hammersmith and Fulham
Coventry City,Coventry
Crystal Palace,London Borough of Croydon
Derby County,Derby
Everton,Liverpool
Fulham,London Borough of Hammersmith and Fulham
Hull City,Kingston upon Hull
Ipswich Town,Ipswich
Leeds United,Leeds
Leicester City,Leicester
Liverpool,Liverpool
Manchester City,Manchester
Manchester United,"Trafford, Greater Manchester"
Middlesbrough,Middlesbrough
Newcastle United,Newcastle upon Tyne
Norwich City,Norwich
Nottingham Forest,West Bridgford
Oldham Athletic,Oldham
Portsmouth,Portsmouth
Queens Park Rangers,London Borough of Hammersmith & Fulham
Reading,Reading
Sheffield United,Sheffield
Sheffield Wednesday,Sheffield
Southampton,Southampton
Stoke City,Stoke-on-Trent
Sunderland,Sunderland
Swansea City,"Swansea, Wales"
Swindon Town,Swindon
Tottenham Hotspur,London Borough of Haringey
Watford,Watford
West Bromwich  Albion,West Bromwich
West Ham United,London Borough of Newham
Wigan Athletic,Wigan
Wimbledon ,London Borough of Merton
Wolverhampton Wanderers,Wolverhampton
Brest,Brest
Troyes,Troyes
Montpellier,Montpellier
Clermont Foot 63,Clermont-Ferrand
Lorient,Lorient
Stade Rennais (Rennes),Rennes
Toulouse FC,Toulouse
RC Strasbourg,Strasbourg
RC Lens,Lens
OGC Nice,Nice
LOSC Lille,Lille
FC Nantes,Nantes
AJ Auxerre,Auxerre
Girondins Bordeaux,Bordeaux
AS Saint-Étienne,Saint-Étienne
AS Monaco,Monaco
Olympique Lyonnais,Lyon
Olympique Marseille,Marseille
Paris Saint-Germain,Paris
Alavés,Vitoria-Gasteiz
Almería,Almería
Athletic Bilbao,Bilbao
Atlético Madrid,Madrid
Barcelona,Barcelona
Cádiz,Cádiz
Celta Vigo,Vigo
Getafe,Getafe
Girona,Girona
Granada,Granada
Las Palmas,Las Palmas
Mallorca,Palma
Osasuna,Pamplona
Rayo Vallecano,Madrid
Real Betis,Seville
Real Madrid,Madrid
Real Sociedad,San Sebastián
Sevilla,Seville
Valencia,Valencia
Villarreal,Villarreal
FC Augsburg,Augsburg
Bayer Leverkusen,Leverkusen
Bayern Munich,Munich
VfL Bochum,Bochum
Werder Bremen,Bremen
Borussia Dortmund,Dortmund
Borussia Mönchengladbach,Mönchengladbach
Eintracht Frankfurt,Frankfurt
SC Freiburg,Freiburg im Breisgau
Hertha BSC,Berlin
1899 Hoffenheim,Sinsheim
1. FC Köln,Cologne
RB Leipzig,Leipzig
Mainz 05,Mainz
Schalke 04,Gelsenkirchen
VfB Stuttgart,Stuttgart
Union Berlin,Berlin
VfL Wolfsburg,Wolfsburg
Ajax,Amsterdam
AZ,Alkmaar
Cambuur,Leeuwarden
FC Emmen,Emmen
Excelsior,Rotterdam
Feyenoord,Rotterdam
Fortuna Sittard,Sittard
Go Ahead Eagles,Deventer
FC Groningen,Groningen
SC Heerenveen,Heerenveen
NEC,Nijmegen
PSV,Eindhoven
RKC Waalwijk,Waalwijk
Sparta Rotterdama,Rotterdam
FC Twente,Enschede
FC Utrechtb,Utrecht
Vitesse,Arnhem
FC Volendam,Volendam
Arouca,Arouca
Benfica,Lisbon
Boavista,Porto
Braga,Braga
Casa Pia,Lisbon
Chaves,Chaves
Estoril,Estoril
Famalicão,Vila Nova de Famalicão
Gil Vicente,Barcelos
Marítimo,Funchal
Paços de Ferreira,Paços de Ferreira
Portimonense,Portimão
Porto,Porto
Rio Ave,Vila do Conde
Santa Clara,Ponta Delgada
Sporting CP,Lisbon
Vitória de Guimarães,Guimarães
Vizela,Vizela
