club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season,country,base_club_name,location_new,latitude_new,longitude_new,location_old,latitude_old,longitude_old
SV Werder Bremen,Markus Witossek,20.0,defence,W. Bremen Res.,-,out,Summer,,1 Bundesliga,1992,1992/1993,Germany,W. Bremen,Bremen,53.0758196,8.8071646,,,
Hamburger SV,Francisco Copado,17.0,Second Striker,Hamburg U19,-,in,Summer,,1 Bundesliga,1992,1992/1993,Germany,Hamburg,,,,,,
Bayern Munich,Harald Cerny,18.0,Right Midfield,FC Bayern U19,-,in,Summer,,1 Bundesliga,1992,1992/1993,Germany,FC Bayern,Munich,48.1371079,11.5753822,,,
Eintracht Frankfurt,Michael Anicic,17.0,Second Striker,Frankfurt U19,-,in,Summer,,1 Bundesliga,1992,1992/1993,Germany,Frankfurt,Frankfurt,50.1106444,8.6820917,,,
Eintracht Frankfurt,Thomas Reis,18.0,Left-Back,Frankfurt U19,-,in,Summer,,1 Bundesliga,1992,1992/1993,Germany,Frankfurt,Frankfurt,50.1106444,8.6820917,,,
Borussia Mönchengladbach,Dimo Wache,18.0,Goalkeeper,Leverkusen U19,free transfer,in,Summer,0.0,1 Bundesliga,1992,1992/1993,Germany,Leverkusen,Mönchengladbach,51.1947131,6.4353792,,,
Bayer 04 Leverkusen,Markus Kurth,18.0,Centre-Forward,Leverkusen U19,-,in,Summer,,1 Bundesliga,1992,1992/1993,Germany,Leverkusen,Leverkusen,51.0324743,6.9881194,,,
Bayer 04 Leverkusen,René Rydlewicz,18.0,Right Midfield,Leverkusen U19,-,in,Summer,,1 Bundesliga,1992,1992/1993,Germany,Leverkusen,Leverkusen,51.0324743,6.9881194,,,
1.FC Nuremberg,Frank Schmidt,18.0,Defensive Midfield,Nürnberg U19,-,in,Summer,,1 Bundesliga,1992,1992/1993,Germany,Nürnberg,,,,,,
1.FC Nuremberg,Sascha Licht,17.0,Right Winger,Nürnberg U19,-,in,Summer,,1 Bundesliga,1992,1992/1993,Germany,Nürnberg,,,,,,
1.FC Nuremberg,Roger Diebel,18.0,attack,Nürnberg U19,-,in,Summer,,1 Bundesliga,1992,1992/1993,Germany,Nürnberg,,,,,,
1. FC Köln,Pablo Thiam,18.0,Defensive Midfield,1.FC Köln U19,-,in,Summer,,1 Bundesliga,1992,1992/1993,Germany,1.FC Köln,Cologne,50.938361,6.959974,,,
1. FC Köln,Guido Jörres,18.0,Sweeper,1.FC Köln U19,-,in,Summer,,1 Bundesliga,1992,1992/1993,Germany,1.FC Köln,Cologne,50.938361,6.959974,,,
1.FC Kaiserslautern,Torsten Lieberknecht,18.0,Central Midfield,K'lautern U19,-,in,Summer,,1 Bundesliga,1992,1992/1993,Germany,K'lautern,,,,,,
1.FC Kaiserslautern,Christoph Dengel,18.0,Centre-Forward,K'lautern U19,-,in,Summer,,1 Bundesliga,1992,1992/1993,Germany,K'lautern,,,,,,
SG Dynamo Dresden,Alexander Zickler,18.0,Centre-Forward,D. Dresden U19,-,in,Summer,,1 Bundesliga,1992,1992/1993,Germany,D. Dresden,,,,,,
SG Dynamo Dresden,Jens Jeremies,18.0,Defensive Midfield,D. Dresden U19,-,in,Summer,,1 Bundesliga,1992,1992/1993,Germany,D. Dresden,,,,,,
VfB Leipzig (- 2004),Ronny Kujat,18.0,Attacking Midfield,VfB Leipzig U19,-,in,Summer,,1 Bundesliga,1993,1993/1994,Germany,VfB Leipzig,,,,,,
VfB Leipzig (- 2004),René Morgenstern,18.0,defence,VfB Leipzig U19,-,in,Summer,,1 Bundesliga,1993,1993/1994,Germany,VfB Leipzig,,,,,,
SV Werder Bremen,Bernd Goldschmidt,23.0,defence,W. Bremen Res.,-,in,Summer,,1 Bundesliga,1993,1993/1994,Germany,W. Bremen,Bremen,53.0758196,8.8071646,,,
VfB Stuttgart,Michael Bochtler,17.0,Left-Back,Stuttgart U19,-,in,Summer,,1 Bundesliga,1993,1993/1994,Germany,Stuttgart,Stuttgart,48.7784485,9.1800132,,,
MSV Duisburg,Markus Reiter,16.0,Centre-Back,SW Essen U19,?,in,Summer,,1 Bundesliga,1993,1993/1994,Germany,SW Essen,,,,,,
Karlsruher SC,Markus Bähr,18.0,defence,Karlsruhe U19,-,in,Summer,,1 Bundesliga,1993,1993/1994,Germany,Karlsruhe,,,,,,
Eintracht Frankfurt,Kevin Knödler,17.0,Goalkeeper,Frankfurt U19,-,in,Summer,,1 Bundesliga,1993,1993/1994,Germany,Frankfurt,Frankfurt,50.1106444,8.6820917,,,
Eintracht Frankfurt,Thomas Sobotzik,18.0,Attacking Midfield,Frankfurt U19,-,in,Summer,,1 Bundesliga,1993,1993/1994,Germany,Frankfurt,Frankfurt,50.1106444,8.6820917,,,
Eintracht Frankfurt,Matthias Becker,19.0,Centre-Forward,Frankfurt U19,-,in,Summer,,1 Bundesliga,1993,1993/1994,Germany,Frankfurt,Frankfurt,50.1106444,8.6820917,,,
Eintracht Frankfurt,Oka Nikolov,19.0,Goalkeeper,Frankfurt U19,-,in,Summer,,1 Bundesliga,1993,1993/1994,Germany,Frankfurt,Frankfurt,50.1106444,8.6820917,,,
Borussia Mönchengladbach,Andreas Bluhm,19.0,defence,M'gladbach U19,-,in,Summer,,1 Bundesliga,1993,1993/1994,Germany,M'gladbach,Mönchengladbach,51.1947131,6.4353792,,,
Borussia Dortmund,Lars Ricken,16.0,Attacking Midfield,B. Dortmund U19,-,in,Summer,,1 Bundesliga,1993,1993/1994,Germany,B. Dortmund,Dortmund,51.5142273,7.4652789,,,
1.FC Nuremberg,Markus Brand,18.0,defence,Nürnberg U19,-,in,Summer,,1 Bundesliga,1993,1993/1994,Germany,Nürnberg,,,,,,
1. FC Köln,Carsten Jancker,18.0,Centre-Forward,1.FC Köln U19,-,in,Summer,,1 Bundesliga,1993,1993/1994,Germany,1.FC Köln,Cologne,50.938361,6.959974,,,
1.FC Kaiserslautern,Thomas Riedl,18.0,Defensive Midfield,K'lautern U19,-,in,Summer,,1 Bundesliga,1994,1994/1995,Germany,K'lautern,,,,,,
1.FC Kaiserslautern,Cem Karaca,18.0,Defensive Midfield,K'lautern U19,-,in,Summer,,1 Bundesliga,1994,1994/1995,Germany,K'lautern,,,,,,
Bayer 05 Uerdingen,Mustafa Dogan,18.0,Centre-Back,Uerdingen U19,-,in,Summer,,1 Bundesliga,1994,1994/1995,Germany,Uerdingen,,,,,,
Bayer 05 Uerdingen,Simon Jentzsch,18.0,Goalkeeper,Uerdingen U19,-,in,Summer,,1 Bundesliga,1994,1994/1995,Germany,Uerdingen,,,,,,
SV Werder Bremen,Jens Lellek,26.0,defence,W. Bremen Res.,-,in,Summer,,1 Bundesliga,1994,1994/1995,Germany,W. Bremen,Bremen,53.0758196,8.8071646,,,
SV Werder Bremen,Sven Simonsen,24.0,Centre-Forward,W. Bremen Res.,-,in,Summer,,1 Bundesliga,1994,1994/1995,Germany,W. Bremen,Bremen,53.0758196,8.8071646,,,
SV Werder Bremen,Arie van Lent,23.0,Centre-Forward,W. Bremen Res.,-,out,Summer,,1 Bundesliga,1994,1994/1995,Germany,W. Bremen,Bremen,53.0758196,8.8071646,,,
VfB Stuttgart,Marc Ziegler,18.0,Goalkeeper,Saarbrücken U19,free transfer,in,Summer,0.0,1 Bundesliga,1994,1994/1995,Germany,Saarbrücken,Stuttgart,48.7784485,9.1800132,,,
TSV 1860 Munich,Timur Yanyali,18.0,Centre-Back,TSV 1860 U19,-,in,Summer,,1 Bundesliga,1994,1994/1995,Germany,TSV 1860,,,,,,
Karlsruher SC,Markus Schroth,19.0,Centre-Forward,Karlsruhe U19,-,in,Summer,,1 Bundesliga,1994,1994/1995,Germany,Karlsruhe,,,,,,
FC Schalke 04,Mathias Schober,18.0,Goalkeeper,Schalke 04 U19,-,in,Summer,,1 Bundesliga,1994,1994/1995,Germany,FC Schalke 04,Gelsenkirchen,51.5110321,7.0960124,Gelsenkirchen,51.5110321,7.0960124
FC Schalke 04,Miguel Pereira,18.0,Centre-Forward,Schalke 04 U19,-,in,Summer,,1 Bundesliga,1994,1994/1995,Germany,FC Schalke 04,Gelsenkirchen,51.5110321,7.0960124,Gelsenkirchen,51.5110321,7.0960124
FC Schalke 04,Sergiy Dikhtyar,18.0,Attacking Midfield,Schalke 04 U19,-,in,Summer,,1 Bundesliga,1994,1994/1995,Germany,FC Schalke 04,Gelsenkirchen,51.5110321,7.0960124,Gelsenkirchen,51.5110321,7.0960124
FC Schalke 04,Igor Lissak,18.0,Defensive Midfield,Schalke 04 U19,-,in,Summer,,1 Bundesliga,1994,1994/1995,Germany,FC Schalke 04,Gelsenkirchen,51.5110321,7.0960124,Gelsenkirchen,51.5110321,7.0960124
Bayern Munich,Samuel Kuffour,17.0,Centre-Back,FC Bayern U19,-,in,Summer,,1 Bundesliga,1994,1994/1995,Germany,FC Bayern,Munich,48.1371079,11.5753822,,,
Borussia Mönchengladbach,Marco Villa,15.0,Centre-Forward,Uerdingen U19,free transfer,in,Summer,0.0,1 Bundesliga,1994,1994/1995,Germany,Uerdingen,Mönchengladbach,51.1947131,6.4353792,,,
Bayer 04 Leverkusen,Daniel Ischdonat,18.0,Goalkeeper,Leverkusen U19,-,in,Summer,,1 Bundesliga,1994,1994/1995,Germany,Leverkusen,Leverkusen,51.0324743,6.9881194,,,
1. FC Köln,Chris Hermansen,19.0,Centre-Forward,Esbjerg fB,free transfer,in,Summer,0.0,1 Bundesliga,1994,1994/1995,Germany,Esbjerg f,Cologne,50.938361,6.959974,,,
TSV 1860 Munich,Christian Holzer,18.0,Goalkeeper,TSV 1860 U19,-,in,Summer,,1 Bundesliga,1995,1995/1996,Germany,TSV 1860,,,,,,
Hamburger SV,Marko Kück,18.0,Centre-Back,Hamburg U19,-,in,Summer,,1 Bundesliga,1995,1995/1996,Germany,Hamburg,,,,,,
Hamburger SV,Stefan Siedschlag,18.0,Defensive Midfield,Hamburg U19,-,in,Summer,,1 Bundesliga,1995,1995/1996,Germany,Hamburg,,,,,,
Eintracht Frankfurt,Patrick Glöckner,18.0,Right Midfield,Frankfurt U19,-,in,Summer,,1 Bundesliga,1995,1995/1996,Germany,Frankfurt,Frankfurt,50.1106444,8.6820917,,,
Eintracht Frankfurt,Thorsten Flick,18.0,Central Midfield,Frankfurt U19,-,in,Summer,,1 Bundesliga,1995,1995/1996,Germany,Frankfurt,Frankfurt,50.1106444,8.6820917,,,
Borussia Mönchengladbach,Marcel Ketelaer,17.0,Left Midfield,M'gladbach U19,-,in,Summer,,1 Bundesliga,1995,1995/1996,Germany,M'gladbach,Mönchengladbach,51.1947131,6.4353792,,,
Borussia Mönchengladbach,Markus Hausweiler,19.0,Defensive Midfield,M'gladbach U19,-,in,Summer,,1 Bundesliga,1995,1995/1996,Germany,M'gladbach,Mönchengladbach,51.1947131,6.4353792,,,
Borussia Dortmund,Ibrahim Tanko,17.0,Second Striker,B. Dortmund U19,-,in,Summer,,1 Bundesliga,1995,1995/1996,Germany,B. Dortmund,Dortmund,51.5142273,7.4652789,,,
Bayer 04 Leverkusen,Sebastian Helbig,18.0,Centre-Forward,RW Erfurt U19,€100Th.,in,Summer,0.1,1 Bundesliga,1995,1995/1996,Germany,RW Erfurt,Leverkusen,51.0324743,6.9881194,,,
Fortuna Düsseldorf,Roberto Marquez,17.0,Attacking Midfield,Vikt. Köln U19,?,in,Summer,,1 Bundesliga,1995,1995/1996,Germany,Vikt. Köln,,,,,,
Fortuna Düsseldorf,Robert Niestroj,20.0,Attacking Midfield,Düsseldorf U19,-,in,Summer,,1 Bundesliga,1995,1995/1996,Germany,Düsseldorf,,,,,,
1. FC Köln,Marco Weller,17.0,Attacking Midfield,1.FC Köln U19,-,in,Summer,,1 Bundesliga,1995,1995/1996,Germany,1.FC Köln,Cologne,50.938361,6.959974,,,
SV Werder Bremen,Erhan Albayrak,18.0,Left Midfield,W. Bremen U19,-,in,Summer,,1 Bundesliga,1995,1995/1996,Germany,W. Bremen,Bremen,53.0758196,8.8071646,,,
