Founded,Nickname,City,Stadium,Capacity,Club Name
1950,Les Pirates,Brest,Stade Francis-Le Blé,"15,097",20. Brest
1986,ESTAC,Troyes,Stade de l'Aube,"20,400",19. Troyes
1974,La Paillade,Montpellier,Stade de la Mosson,"32, 939",18. Montpellier
1984,Les Lanciers (The Lancers),Clermont-Ferrand,Stade Gabriel-Montpied,"13,000",17. Clermont Foot 63
1926,Les Merlus (The Merlucciidaes),Lorient,Stade du Moustoir,"18,110",16. Lorient
1901,Les Rennais (The Rennais),Rennes,Roazhon Park,"29,778",15. Stade Rennais (Rennes)
1970,Le Téfécé Les Violets Le Tef Les Pitchouns,Toulouse,Stadium de Toulouse,"33,150",14. Toulouse FC
1906,Le Racing Le RCS Les Bleu et Blanc (The Blue-and-Whites),Strasbourg,Stade de la Meinau Strasbourg,"26,109",13. RC Strasbourg
1906,Les Sang et Or (The Blood and Gold),Lens,Estadio Bollaert-Delelis,"38,223",12. RC Lens
1904,"Les Aiglons (The Eaglets), Le Gym (The Gym)",Nice,"Stade Municipal du Ray (1927-2013), Allianz Riviera (2013-date)","Allianz Riviera (over 35,000)",11. OGC Nice
1944,Les Dogues (The Mastiffs),Lille,Decathlon Arena - Stade Pierre Mauroy,"50,000",9. LOSC Lille
1943,Les Canaris (The Canaries),Nantes,Beaujoire Stadium,"35,322",8. FC Nantes
1905,Les diplomates (The Diplomats),Auxerre,Stade Abbe Deschamps,"18,451",7. AJ Auxerre
1881,Les Girondins (The Girondins),Bordeaux,Matmut Atlantique,"42,115",6. Girondins Bordeaux
1919,Les Verts (The Greens),Saint-Étienne,Stade Geoffroy-Guichard,"41,965",5. AS Saint-Étienne
1924,Les Rouges et Blancs (The Red and Whites),Monaco,Louis II Stadium,"18,523",4. AS Monaco
1950,Les Gones (The Kids),Lyon,Groupama Stadium,"59,186",3. Olympique Lyonnais
1899,Les Olympiens (The Olympians),Marseille,Orange Vélodrome,"67,000",2. Olympique Marseille
1970,Les Parisiens (The Parisians),Paris,Le Parc des Princes,"48, 583",1. Paris Saint-Germain
