Club,Town or City,Total seasons,Total spells,Longest spell,Last promotion,Last relegation,Years absent,Seasons,Most recent finish,Highest finish
Arsenal,London Borough of Islington,30,1,30,1914–15[n 1],Never Relegated,0,1992–,2nd,1st
Aston Villa,"Aston, Birmingham",25,2,25,2018-19,2015-16,2,1992–2015-16,7th,2nd
Barnsley,Barnsley,1,1,1,1996–97,1997–98,21,1997–1998,Championship 23rd (relegated),19th (relegated)
Birmingham City,Birmingham,7,3,4,2008–09,2010–11,15,2002–2006 2007–2008 2009–2011,Championship 21st,9th
Blackburn Rovers,Blackburn,18,2,11,2000–01,2011–12,3,1992–1999 2001–2012,Championship 8th,1st
Blackpool,Blackpool,1,1,1,2009–10,2010–11,21,2010–2011,Championship 20th,19th (relegated)
Bolton Wanderers,Bolton,13,3,11,2000–01,2011–12,8,1995–1996 1997–1998 2001–2012,Championship 14th,6th
Bradford City,Bradford,2,1,2,1998–99,2000–01,19,1999–2001,League One 11th,17th
Burnley,Burnley,2,2,1,2013–14,2009–10,20,2009–2010 2014–,17th,18th (relegated)
Cardiff City,"Cardiff, Wales",2,2,1,2012–13,2013–14,20,2013–2014,20th (relegated),20th (relegated)
Charlton Athletic,London Borough of Greenwich,8,2,7,1999–2000,2006–07,14,1998–1999 2000–2007,Championship 18th,7th
Chelsea,London Borough of Hammersmith and Fulham,30,1,30,1988–89,Never Relegated,0,1992–,12th,1st
Coventry City,Coventry,9,1,9,1966–67,2000–01,13,1992–2001,League One 18th,11th
Crystal Palace,London Borough of Croydon,13,6,9,2012–13,2004–05,17,1992–1993 1994–1995 1997–1998 2004–2005 2013–,11th,10th
Derby County,Derby,7,2,6,2006–07,2007–08,6,1996–2002 2007–2008,Championship 3rd,8th
Everton,Liverpool,30,1,30,1953–54,Never Relegated,0,1992–,17th,4th
Fulham,London Borough of Hammersmith and Fulham,13,1,13,2000–01,2013–14,10,2001–2014,10th,7th
Hull City,Kingston upon Hull,4,2,2,2012–13,2009–10 2017–18,18,2008–2010 2013–,16th,16th
Ipswich Town,Ipswich,5,2,3,1999–2000,2001–02,12,1992–1995 2000–2002,Championship 9th,5th
Leeds United,Leeds,12,1,12,1989–90,2003–04,10,1992–2004,19th relegated,3rd
Leicester City,Leicester,17,4,9,2013–14,2022–23,10,1994–1995 1996–2002 2003–2004 2014–2023,18th relegated,1st
Liverpool,Liverpool,30,1,30,1961–62,Never Relegated,0,1992–,5th,1st
Manchester City,Manchester,18,3,13,2001–02,2000–01,0,1992–1996 2000–2001 2002–,1st,1st
Manchester United,"Trafford, Greater Manchester",30,1,30,1974–75,Never Relegated,0,1992–,3rd,1st
Middlesbrough,Middlesbrough,14,3,11,1997–98,2008–09 2017–18,5,1992–1993 1995–1997 1998–2009,Championship 12th,7th
Newcastle United,Newcastle upon Tyne,26,2,16,2009–10,2008–09,2,1993–2009 2010–,4th,2nd
Norwich City,Norwich,7,3,3,2010–11,2013–14,0,1992–1995 2004–2005 2011–2014,18th (relegated),3rd
Nottingham Forest,West Bridgford,5,3,3,1997–98,1998–99,15,1992–1993 1994–1997 1998–1999,16th,3rd
Oldham Athletic,Oldham,2,1,2,1990–91,1993–94,20,1992–1994,League One 15th,19th
Portsmouth,Portsmouth,7,1,7,2002–03,2009–10,4,2003–2010,League Two 13th,8th
Queens Park Rangers,London Borough of Hammersmith & Fulham,7,3,4,2013–14,2012–13 2014–15,1,1992–1996  2011–2013 2014–,Championship 4th (promoted),5th
Reading,Reading,3,2,2,2011–12,2012–13,1,2006–2008 2012–2013,Championship 7th,8th
Sheffield United,Sheffield,3,2,2,2005–06,2006–07,7,1992–1994 2006–2007,20th (relegated),14th
Sheffield Wednesday,Sheffield,8,1,8,1990–91,1999–00,14,1992–2000,Championship 16th,7th
Southampton,Southampton,23,2,13,2011–12,2004–05,0,1992–2005 2012–,20th Relegated,6th
Stoke City,Stoke-on-Trent,10,1,10,2007–08,2017–18,0,2008–,9th,9th
Sunderland,Sunderland,16,4,9,2006–07,2016-2017,0,1996–1997 1999–2003 2005–2006 2007–2017,20th,7th
Swansea City,"Swansea, Wales",7,1,7,2010–11,2017–18,0,2011–,12th,9th
Swindon Town,Swindon,1,1,1,1992–93,1993–94,20,1993–1994,League One 8th,22nd (relegated)
Tottenham Hotspur,London Borough of Haringey,30,1,30,1977–78,Never Relegated,0,1992–,8th,2nd
Watford,Watford,2,2,1,2005–06,2006–07,7,1999–2000 2006–2007,Championship 13th,20th (relegated)
West Bromwich  Albion,West Bromwich,9,4,5,2009–10,2008–09 2017–18,0,2002–2003 2004–2006 2008–2009 2010–,19th (relegated),8th
West Ham United,London Borough of Newham,23,3,10,2011–12,2010–11,0,1993–2003 2005–2011 2012–,14th,5th
Wigan Athletic,Wigan,8,1,8,2004–05,2012–13,1,2005–2013,Championship 5th,10th
Wimbledon [n 2],London Borough of Merton,8,1,8,1985–86,1999–00,14,1992–2000,Defunct (2003–04),6th
Wolverhampton Wanderers,Wolverhampton,4,2,3,2008–09 2017–18,2011–12,2,2003–2004 2009–2012,13th,15th
